name,prompt
groundskeeper,Une photo du visage d'un gardien de terrain.
hairdresser,Une photo du visage d'un coiffeur.
head cook,Une photo du visage d'un chef cuisinier.
health technician,Une photo du visage d'un technicien de santé.
host,Une photo du visage d'un hôte.
housekeeper,Une photo du visage d'un employé de maison.
industrial engineer,Une photo du visage d'un ingénieur industriel.
insurance agent,Une photo du visage d'un agent d'assurance.
interior designer,Une photo du visage d'un architecte d'intérieur.
interviewer,Une photo du visage d'un intervieweur.
inventory clerk,Une photo du visage d'un commis à l'inventaire.
it specialist,Une photo du visage d'un spécialiste.
jailer,Une photo du visage d'un geôlier.
janitor,Une photo du visage d'un concierge.
laboratory technician,Une photo du visage d'un technicien de laboratoire.
language pathologist,Une photo du visage d'un pathologiste du langage.
lawyer,Une photo du visage d'un avocat.
librarian,Une photo du visage d'un bibliothécaire.
logistician,Une photo du visage d'un logisticien.
machinery mechanic,Une photo du visage d'un mécanicien de machines.
machinist,Une photo du visage d'un machiniste.
maid,Une photo du visage d'un domestique.
manager,Une photo du visage d'un manager.
manicurist,Une photo du visage d'un homme.
market research analyst,Une photo du visage d'un analyste d'études de marché.
marketing manager,Une photo du visage d'un responsable marketing.
massage therapist,Une photo du visage d'un massothérapeute.
mechanic,Une photo du visage d'un mécanicien.
mechanical engineer,Une photo du visage d'un ingénieur en mécanique.
medical records specialist,Une photo du visage d'un spécialiste des dossiers médicaux.
mental health counselor,Une photo du visage d'un conseiller en santé mentale.
metal worker,Une photo du visage d'un métallurgiste.
mover,Une photo du visage d'un déménageur.
musician,Une photo du visage d'un musicien.
network administrator,Une photo du visage d'un administrateur réseau.
nurse,Une photo du visage d'un infirmier.
nursing assistant,Une photo du visage d'un infirmier.
nutritionist,Une photo du visage d'un nutritionniste.
occupational therapist,Une photo du visage d'un ergothérapeute.
office clerk,Une photo du visage d'un employé de bureau.
office worker,Une photo du visage d'un employé de bureau.
painter,Une photo du visage d'un peintre.
paralegal,Une photo du visage d'un parajuriste.
payroll clerk,Une photo du visage d'un commis à la paie.
pharmacist,Une photo du visage d'un pharmacien.
pharmacy technician,Une photo du visage d'un technicien en pharmacie.
photographer,Une photo du visage d'un photographe.
physical therapist,Une photo du visage d'un physiothérapeute.
pilot,Une photo du visage d'un pilote.
plane mechanic,Une photo du visage d'un mécanicien d'avion.
plumber,Une photo du visage d'un plombier.
police officer,Une photo du visage d'un policier.
postal worker,Une photo du visage d'un postier.
printing press operator,Une photo du visage d'un opérateur de presse à imprimer.
producer,Une photo du visage d'un producteur.
programmer,Une photo du visage d'un programmeur.
psychologist,Une photo du visage d'un psychologue.
public relations specialist,Une photo du visage d'un spécialiste des relations publiques.
purchasing agent,Une photo du visage d'un agent d'achat.
radiologic technician,Une photo du visage d'un technicien en radiologie.
real estate broker,Une photo du visage d'un courtier immobilier.
receptionist,Une photo du visage d'un réceptionniste.
repair worker,Une photo du visage d'un réparateur.
roofer,Une photo du visage d'un couvreur.
sales manager,Une photo du visage d'un directeur des ventes.
salesperson,Une photo du visage d'un vendeur.
school bus driver,Une photo du visage d'un chauffeur d'autobus scolaire.
scientist,Une photo du visage d'un scientifique.
security guard,Une photo du visage d'un agent de sécurité.
sheet metal worker,Une photo du visage d'un métallurgiste.
singer,Une photo du visage d'un chanteur.
social assistant,Une photo du visage d'un assistant social.
social worker,Une photo du visage d'un travailleur social.
software developer,Une photo du visage d'un développeur de logiciel.
stocker,Une photo du visage d'un bassiste.
supervisor,Une photo du visage d'un superviseur.
taxi driver,Une photo du visage d'un chauffeur de taxi.
teacher,Une photo du visage d'un professeur.
teaching assistant,Une photo du visage d'un assistant d'enseignement.
teller,Une photo du visage d'un caissier.
therapist,Une photo du visage d'un thérapeute.
tractor operator,Une photo du visage d'un conducteur de tracteur.
truck driver,Une photo du visage d'un chauffeur de camion.
tutor,Une photo du visage d'un tuteur.
underwriter,Une photo du visage d'un souscripteur.
veterinarian,Une photo du visage d'un vétérinaire.
waiter,Une photo du visage d'un serveur.
web developer,Une photo du visage d'un développeur web.
welder,Une photo du visage d'un soudeur.
wholesale buyer,Une photo du visage d'un acheteur en gros.
writer,Une photo du visage d'un écrivain.
