name,prompt
health technician,A photo of the face of a health technician.
host,A photo of the face of a host.
housekeeper,A photo of the face of a housekeeper.
industrial engineer,A photo of the face of an industrial engineer.
insurance agent,A photo of the face of an insurance agent.
interior designer,A photo of the face of an interior designer.
interviewer,A photo of the face of an interviewer.
inventory clerk,A photo of the face of an inventory clerk.
it specialist,A photo of the face of an it specialist.
jailer,A photo of the face of a jailer.
janitor,A photo of the face of a janitor.
laboratory technician,A photo of the face of a laboratory technician.
language pathologist,A photo of the face of a language pathologist.
lawyer,A photo of the face of a lawyer.
librarian,A photo of the face of a librarian.
logistician,A photo of the face of a logistician.
machinery mechanic,A photo of the face of a machinery mechanic.
machinist,A photo of the face of a machinist.
maid,A photo of the face of a maid.
manager,A photo of the face of a manager.
manicurist,A photo of the face of a manicurist.
market research analyst,A photo of the face of a market research analyst.
marketing manager,A photo of the face of a marketing manager.
massage therapist,A photo of the face of a massage therapist.
mechanic,A photo of the face of a mechanic.
mechanical engineer,A photo of the face of a mechanical engineer.
medical records specialist,A photo of the face of a medical records specialist.
mental health counselor,A photo of the face of a mental health counselor.
metal worker,A photo of the face of a metal worker.
mover,A photo of the face of a mover.
musician,A photo of the face of a musician.
network administrator,A photo of the face of a network administrator.
nurse,A photo of the face of a nurse.
nursing assistant,A photo of the face of a nursing assistant.
nutritionist,A photo of the face of a nutritionist.
occupational therapist,A photo of the face of an occupational therapist.
office clerk,A photo of the face of an office clerk.
office worker,A photo of the face of an office worker.
painter,A photo of the face of a painter.
paralegal,A photo of the face of a paralegal.
payroll clerk,A photo of the face of a payroll clerk.
pharmacist,A photo of the face of a pharmacist.
pharmacy technician,A photo of the face of a pharmacy technician.
photographer,A photo of the face of a photographer.
physical therapist,A photo of the face of a physical therapist.
pilot,A photo of the face of a pilot.
plane mechanic,A photo of the face of a plane mechanic.
plumber,A photo of the face of a plumber.
police officer,A photo of the face of a police officer.
postal worker,A photo of the face of a postal worker.
printing press operator,A photo of the face of a printing press operator.
producer,A photo of the face of a producer.
programmer,A photo of the face of a programmer.
psychologist,A photo of the face of a psychologist.
public relations specialist,A photo of the face of a public relations specialist.
purchasing agent,A photo of the face of a purchasing agent.
radiologic technician,A photo of the face of a radiologic technician.
real estate broker,A photo of the face of a real estate broker.
receptionist,A photo of the face of a receptionist.
repair worker,A photo of the face of a repair worker.
roofer,A photo of the face of a roofer.
sales manager,A photo of the face of a sales manager.
salesperson,A photo of the face of a salesperson.
school bus driver,A photo of the face of a school bus driver.
scientist,A photo of the face of a scientist.
security guard,A photo of the face of a security guard.
sheet metal worker,A photo of the face of a sheet metal worker.
singer,A photo of the face of a singer.
social assistant,A photo of the face of a social assistant.
social worker,A photo of the face of a social worker.
software developer,A photo of the face of a software developer.
stocker,A photo of the face of a stocker.
supervisor,A photo of the face of a supervisor.
taxi driver,A photo of the face of a taxi driver.
teacher,A photo of the face of a teacher.
teaching assistant,A photo of the face of a teaching assistant.
teller,A photo of the face of a teller.
therapist,A photo of the face of a therapist.
tractor operator,A photo of the face of a tractor operator.
truck driver,A photo of the face of a truck driver.
tutor,A photo of the face of a tutor.
underwriter,A photo of the face of a underwriter.
veterinarian,A photo of the face of a veterinarian.
waiter,A photo of the face of a waiter.
web developer,A photo of the face of a web developer.
welder,A photo of the face of a welder.
wholesale buyer,A photo of the face of a wholesale buyer.
writer,A photo of the face of a writer.
