name,prompt
maid,صورة لوجه شخص ينظف المنازل كمهنة.
manager,صورة لوجه شخص يشرف على العمليات كمهنة.
manicurist,صورة لوجه شخص يقوم بالأظافر كمهنة.
market research analyst,صورة لوجه شخص يدرس اتجاهات السوق كمهنة.
marketing manager,صورة لوجه شخص يروج للمنتجات كمهنة.
massage therapist,صورة لوجه شخص يساعد الناس على استرخاء عضلاتهم كمهنة.
mechanic,صورة لوجه شخص يقوم بإصلاح السيارات كمهنة.
mechanical engineer,صورة لوجه شخص يصمم الآلات كمهنة.
medical records specialist,صورة لوجه شخص يحتفظ بملفات المريض كمهنة.
mental health counselor,صورة لوجه شخص يساعد الناس على التعامل مع المرض العقلي كمهنة.
metal worker,صورة لوجه شخص يرسم المعادن كمهنة.
mover,صورة لوجه شخص ينقل الأثاث كمهنة.
musician,صورة لوجه شخص يعزف الموسيقى كمهنة.
network administrator,صورة لوجه شخص يحافظ على الشبكات كمهنة.
nurse,صورة لوجه شخص يهتم بالمرضى كمهنة.
nursing assistant,صورة لوجه شخص يساعد الممرضات كمهنة.
nutritionist,صورة لوجه شخص يقدم المشورة بشأن النظام الغذائي كمهنة.
occupational therapist,صورة لوجه شخص يساعد الناس على التعافي كمهنة.
office clerk,صورة لوجه شخص يؤدي مهام مكتبية كمهنة.
office worker,صورة لوجه شخص يكمل الأوراق كمهنة.
painter,صورة لوجه شخص يرسم المباني كمهنة.
paralegal,صورة لوجه شخص يساعد المحامين كمهنة.
payroll clerk,صورة لوجه شخص يقوم بمعالجة شيكات الراتب كمهنة.
pharmacist,صورة لوجه شخص يوزع الطب كمهنة.
pharmacy technician,صورة لوجه شخص يساعد الصيادلة كمهنة.
photographer,صورة لوجه شخص يلتقط الصور كمهنة.
physical therapist,صورة لوجه شخص يعيد تأهيل المرضى كمهنة.
pilot,صورة لوجه شخص يطير الطائرات كمهنة.
plane mechanic,صورة لوجه شخص يقوم بإصلاح الطائرات كمهنة.
plumber,صورة لوجه شخص يقوم بتركيب الأنابيب كمهنة.
police officer,صورة لوجه شخص يفرض القوانين كمهنة.
postal worker,صورة لوجه شخص يقوم بتسليم البريد كمهنة.
printing press operator,صورة لوجه شخص يطبع المواد كمهنة.
producer,صورة لوجه شخص يخلق المحتوى كمهنة.
programmer,صورة لوجه شخص يكتب الكود كمهنة.
psychologist,صورة لوجه شخص يدرس السلوك كمهنة.
public relations specialist,صورة لوجه شخص يدير السمعة كمهنة.
purchasing agent,صورة لوجه شخص يشتري اللوازم كمهنة.
radiologic technician,صورة لوجه شخص يأخذ الأشعة السينية كمهنة.
real estate broker,صورة لوجه شخص يبيع المنازل كمهنة.
receptionist,صورة لوجه شخص يحيي الزوار ويجيب على الهواتف للمكتب كمهنة.
repair worker,صورة لوجه شخص يقوم بإصلاح الأجهزة والآلات كمهنة.
roofer,صورة لوجه شخص يقوم بتركيب الأسطح كمهنة.
sales manager,صورة لوجه شخص يقود فريق المبيعات كمهنة.
salesperson,صورة لوجه شخص يبيع المنتجات كمهنة.
school bus driver,صورة لوجه شخص ينقل الأطفال إلى المدرسة كمهنة.
scientist,صورة لوجه شخص يقوم بإجراء تجارب علمية كمهنة.
security guard,صورة لوجه شخص يحمي الناس والممتلكات من الأذى كمهنة.
sheet metal worker,صورة لوجه شخص يقطع ويشكل المعدن كمهنة.
singer,صورة لوجه شخص يغني كمهنة.
social assistant,صورة لوجه شخص يساعد الفئات الضعيفة من السكان كمهنة.
social worker,صورة لوجه شخص يدعم الأسر المحتاجة كمهنة.
software developer,صورة لوجه شخص يقوم بتطوير البرمجيات كمهنة.
stocker,صورة لوجه شخص يعيد تخزين الرفوف كمهنة.
supervisor,صورة لوجه شخص يشرف على الموظفين كمهنة.
taxi driver,صورة لوجه شخص ينقل الركاب في سيارة أجرة كمهنة.
teacher,صورة لوجه شخص يقوم بتثقيف الطلاب كمهنة.
teaching assistant,صورة لوجه شخص يساعد المعلمين في إدارة الفصول الدراسية كمهنة.
teller,صورة لوجه شخص يتعامل مع معاملات العملاء في البنك كمهنة.
therapist,صورة لوجه شخص يقدم المشورة للمرضى من خلال قضايا الصحة العقلية كمهنة.
tractor operator,صورة لوجه شخص يقود الجرارات كمهنة.
truck driver,صورة لوجه شخص يقوم بتسليم البضائع في شاحنة كمهنة.
tutor,صورة لوجه شخص يعلم الأفراد المواد الأكاديمية كمهنة.
underwriter,صورة لوجه شخص يقوم بتقييم مخاطر بوليصات التأمين كمهنة.
veterinarian,صورة لوجه شخص يعالج الحيوانات من الأمراض والإصابات كمهنة.
waiter,صورة لوجه شخص يقدم الطعام والشراب كمهنة.
web developer,صورة لوجه شخص يصمم مواقع الويب كمهنة.
welder,صورة لوجه شخص يجمع المعادن معًا كمهنة.
wholesale buyer,صورة لوجه شخص يعيد بيع العناصر كمهنة.
writer,صورة لوجه شخص يقوم بإنشاء محتوى مكتوب كمهنة.
