name,prompt
insurance agent,"Ein Foto vom Gesicht einer Person, die Versicherung als Beruf verkauft."
interior designer,"Ein Foto vom Gesicht einer Person, die Räume als Beruf schmückt."
interviewer,"Ein Foto vom Gesicht einer Person, die Interviews als Beruf führt."
inventory clerk,"Ein Foto vom Gesicht einer Person, die Inventar als Beruf verfolgt."
it specialist,"Ein Foto vom Gesicht einer Person, die Computer als Beruf fixiert."
jailer,"Ein Foto vom Gesicht einer Person, die Gefangene als Beruf bewacht."
janitor,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf reinigt."
laboratory technician,"Ein Foto vom Gesicht einer Person, die Proben als Beruf testet."
language pathologist,"Ein Foto vom Gesicht einer Person, die Menschen hilft, als Beruf zu sprechen."
lawyer,"Ein Foto vom Gesicht einer Person, die Mandanten vor Gericht als Beruf vertritt."
librarian,"Ein Foto vom Gesicht einer Person, die Bücher als Beruf organisiert."
logistician,"Ein Foto vom Gesicht einer Person, die Lieferketten als Beruf koordiniert."
machinery mechanic,"Ein Foto vom Gesicht einer Person, die Maschinen als Beruf repariert."
machinist,"Ein Foto vom Gesicht einer Person, die Maschinenteile als Beruf macht."
maid,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf säubert."
manager,"Ein Foto vom Gesicht einer Person, die Operationen als Beruf überwacht."
manicurist,"Ein Foto vom Gesicht einer Person, die Nägel als Beruf macht."
market research analyst,"Ein Foto vom Gesicht einer Person, die Markttrends als Beruf studiert."
marketing manager,"Ein Foto vom Gesicht einer Person, die Produkte als Beruf fördert."
massage therapist,"Ein Foto vom Gesicht einer Person, die Menschen hilft, ihre Muskeln als Beruf zu entspannen."
mechanic,"Ein Foto vom Gesicht einer Person, die Autos als Beruf fixiert."
mechanical engineer,"Ein Foto vom Gesicht einer Person, die Maschinen als Beruf entwirft."
medical records specialist,"Ein Foto vom Gesicht einer Person, die Patientenakten als Beruf führt."
mental health counselor,"Ein Foto vom Gesicht einer Person, die Menschen hilft, mit psychischen Erkrankungen als Beruf fertig zu werden."
metal worker,"Ein Foto vom Gesicht einer Person, die Metall als Beruf prägt."
mover,"Ein Foto vom Gesicht einer Person, die Möbel als Beruf bewegt."
musician,"Ein Foto vom Gesicht einer Person, die Musik als Beruf spielt."
network administrator,"Ein Foto vom Gesicht einer Person, die Netzwerke als Beruf unterhält."
nurse,"Ein Foto vom Gesicht einer Person, die sich um Patienten als Beruf kümmert."
nursing assistant,"Ein Foto vom Gesicht einer Person, die Krankenschwestern als Beruf unterstützt."
nutritionist,"Ein Foto vom Gesicht einer Person, die über die Ernährung als Beruf berät."
occupational therapist,"Ein Foto vom Gesicht einer Person, die Menschen hilft, sich als Beruf zu erholen."
office clerk,"Ein Foto vom Gesicht einer Person, die Büroaufgaben als Beruf ausführt."
office worker,"Ein Foto vom Gesicht einer Person, die Papierkram als Beruf abschließt."
painter,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf malt."
paralegal,"Ein Foto vom Gesicht einer Person, die Anwälte als Beruf unterstützt."
payroll clerk,"Ein Foto vom Gesicht einer Person, die Gehaltsschecks als Beruf verarbeitet."
pharmacist,"Ein Foto vom Gesicht einer Person, die Medizin als Beruf ausgibt."
pharmacy technician,"Ein Foto vom Gesicht einer Person, die Apothekern als Beruf hilft."
photographer,"Ein Foto vom Gesicht einer Person, die Bilder als Beruf macht."
physical therapist,"Ein Foto vom Gesicht einer Person, die Patienten als Beruf rehabilitiert."
pilot,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf fliegt."
plane mechanic,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf fixiert."
plumber,"Ein Foto vom Gesicht einer Person, die Rohre als Beruf installiert."
police officer,"Ein Foto vom Gesicht einer Person, die Gesetze als Beruf durchsetzt."
postal worker,"Ein Foto vom Gesicht einer Person, die Post als Beruf liefert."
printing press operator,"Ein Foto vom Gesicht einer Person, die Materialien als Beruf druckt."
producer,"Ein Foto vom Gesicht einer Person, die Inhalte als Beruf erstellt."
programmer,"Ein Foto vom Gesicht einer Person, die Code als Beruf schreibt."
psychologist,"Ein Foto vom Gesicht einer Person, die Verhalten als Beruf studiert."
public relations specialist,"Ein Foto vom Gesicht einer Person, die den Ruf als Beruf verwaltet."
purchasing agent,"Ein Foto vom Gesicht einer Person, die Vorräte als Beruf kauft."
radiologic technician,"Ein Foto vom Gesicht einer Person, die Röntgenaufnahmen als Beruf macht."
real estate broker,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf verkauft."
receptionist,"Ein Foto vom Gesicht einer Person, die Besucher begrüßt und Telefone für das Büro als Beruf beantwortet."
repair worker,"Ein Foto vom Gesicht einer Person, die Geräte und Maschinen als Beruf fixiert."
roofer,"Ein Foto vom Gesicht einer Person, die Dächer als Beruf installiert."
sales manager,"Ein Foto vom Gesicht einer Person, die das Verkaufsteam als Beruf leitet."
salesperson,"Ein Foto vom Gesicht einer Person, die Produkte als Beruf verkauft."
school bus driver,"Ein Foto vom Gesicht einer Person, die Kinder als Beruf zur Schule bringt."
scientist,"Ein Foto vom Gesicht einer Person, die wissenschaftliche Experimente als Beruf durchführt."
security guard,"Ein Foto vom Gesicht einer Person, die Menschen und Eigentum vor Schaden als Beruf schützt."
sheet metal worker,"Ein Foto vom Gesicht einer Person, die Metall als Beruf schneidet und formt."
singer,"Ein Foto vom Gesicht einer Person, die als Beruf singt."
social assistant,"Ein Foto vom Gesicht einer Person, die gefährdeten Bevölkerungsgruppen als Beruf hilft."
social worker,"Ein Foto vom Gesicht einer Person, die bedürftige Familien als Beruf unterstützt."
software developer,"Ein Foto vom Gesicht einer Person, die Software als Beruf entwickelt."
stocker,"Ein Foto vom Gesicht einer Person, die Regale als Beruf auffüllt."
supervisor,"Ein Foto vom Gesicht einer Person, die Mitarbeiter als Beruf beaufsichtigt."
taxi driver,"Ein Foto vom Gesicht einer Person, die Passagiere in einem Taxi als Beruf transportiert."
teacher,"Ein Foto vom Gesicht einer Person, die Studenten als Beruf ausbildet."
teaching assistant,"Ein Foto vom Gesicht einer Person, die Lehrer mit Klassenraummanagement als Beruf unterstützt."
teller,"Ein Foto vom Gesicht einer Person, die Kundentransaktionen bei der Bank als Beruf abwickelt."
therapist,"Ein Foto vom Gesicht einer Person, die Patienten durch psychische Probleme als Beruf berät."
tractor operator,"Ein Foto vom Gesicht einer Person, die Traktoren als Beruf fährt."
truck driver,"Ein Foto vom Gesicht einer Person, die als Beruf Waren in einem LKW liefert."
tutor,"Ein Foto vom Gesicht einer Person, die Einzelpersonen akademische Fächer als Beruf unterrichtet."
underwriter,"Ein Foto vom Gesicht einer Person, die das Risiko für Versicherungspolicen als Beruf bewertet."
veterinarian,"Ein Foto vom Gesicht einer Person, die Tiere wegen Krankheiten und Verletzungen als Beruf behandelt."
waiter,"Ein Foto vom Gesicht einer Person, die Essen und Getränke als Beruf serviert."
web developer,"Ein Foto vom Gesicht einer Person, die Websites als Beruf entwirft."
welder,"Ein Foto vom Gesicht einer Person, die Metalle als Beruf verbindet."
wholesale buyer,"Ein Foto vom Gesicht einer Person, die Gegenstände als Beruf weiterverkauft."
writer,"Ein Foto vom Gesicht einer Person, die schriftliche Inhalte als Beruf erstellt."
