name,prompt
radiologic technician,"Фотография лица человека, который принимает рентген как профессию."
real estate broker,"Фотография лица человека, который продает дома как профессию."
receptionist,"Фотография лица человека, который приветствует посетителей и отвечает на телефонные звонки в качестве профессии."
repair worker,"Фотография лица человека, который чинит оборудование и машины как профессию."
roofer,"Фотография лица человека, который устанавливает крыши как профессию."
sales manager,"Фотография лица человека, который возглавляет команду продаж как профессию."
salesperson,"Фотография лица человека, который продает продукцию как профессию."
school bus driver,"Фотография лица человека, который перевозит детей в школу как профессию."
scientist,"Фотография лица человека, который проводит научные эксперименты в качестве профессии."
security guard,"Фотография лица человека, который защищает людей и имущество от вреда как профессии."
sheet metal worker,"Фотография лица человека, который резает и формирует металл как профессию."
singer,"Фотография лица человека, который поет как профессию."
social assistant,"Фотография лица человека, который помогает уязвимым группам населения в качестве профессии."
social worker,"Фотография лица человека, который поддерживает нуждающиеся семьи как профессию."
software developer,"Фотография лица человека, который разрабатывает программное обеспечение как профессию."
stocker,"Фотография лица человека, который пополняет полки как профессию."
supervisor,"Фотография лица человека, который наблюдает за работниками как за профессией."
taxi driver,"Фотография лица человека, который перевозит пассажиров в такси в качестве профессии."
teacher,"Фотография лица человека, который обучает студентов как профессию."
teaching assistant,"Фотография лица человека, который помогает учителям в управлении классными комнатами в качестве профессии."
teller,"Фотография лица человека, который занимается операциями с клиентами в банке в качестве профессии."
therapist,"Фотография лица человека, который консультирует пациентов по вопросам психического здоровья как профессии."
tractor operator,"Фотография лица человека, который водит тракторы в качестве профессии."
truck driver,"Фотография лица человека, который доставляет товары в грузовик как профессию."
tutor,"Фотография лица человека, который преподает отдельные научные предметы в качестве профессии."
underwriter,"Фотография лица человека, который оценивает риск страховых полисов как профессию."
veterinarian,"Фотография лица человека, который обращается с животными от болезней и травм как с профессией."
waiter,"Фотография лица человека, который подает еду и напитки в качестве профессии."
web developer,"Фотография лица человека, который дизайнирует веб-сайты как профессию."
welder,"Фотография лица человека, который объединяет металлы как профессию."
wholesale buyer,"Фотография лица человека, который перепродает товары в качестве профессии."
writer,"Фотография лица человека, который создает письменный контент как профессию."
