name,prompt
industrial engineer,생산을 직업으로 최적화하는 사람의 얼굴 사진입니다.
insurance agent,보험을 직업으로 판매하는 사람의 얼굴 사진
interior designer,직업으로 공간을 꾸미는 사람의 얼굴 사진입니다.
interviewer,직업으로 인터뷰를 하는 사람의 얼굴 사진입니다.
inventory clerk,인벤토리를 직업으로 추적하는 사람의 얼굴 사진입니다.
it specialist,직업으로 컴퓨터를 고치는 사람의 얼굴 사진입니다.
jailer,직업으로 죄수들을 지키는 사람의 얼굴 사진입니다.
janitor,직업으로 건물을 청소하는 사람의 얼굴 사진
laboratory technician,샘플을 전문적으로 검사하는 사람의 얼굴 사진입니다.
language pathologist,사람들이 직업적으로 말을 할 수 있도록 돕는 사람의 얼굴 사진입니다.
lawyer,법정에서 고객을 전문적으로 대변하는 사람의 얼굴 사진입니다.
librarian,책들을 직업으로 정리하는 사람의 얼굴 사진입니다.
logistician,공급망을 전문적으로 조정하는 사람의 얼굴 사진입니다.
machinery mechanic,직업으로 기계를 고치는 사람의 얼굴 사진
machinist,직업으로 기계 부품을 만드는 사람의 얼굴 사진
maid,직업으로 집 청소를 하는 사람의 얼굴 사진
manager,직업으로 운영을 감독하는 사람의 얼굴 사진입니다.
manicurist,손톱을 직업으로 하는 사람의 얼굴 사진
market research analyst,시장 동향을 직업으로 연구하는 사람의 얼굴 사진입니다.
marketing manager,상품을 직업으로 홍보하는 사람의 얼굴 사진
massage therapist,사람들이 근육을 편안하게 하는 것을 직업으로 하는 사람의 얼굴 사진입니다.
mechanic,직업으로 자동차를 수리하는 사람의 얼굴 사진
mechanical engineer,기계 설계를 직업으로 하는 사람의 얼굴 사진입니다.
medical records specialist,직업으로 환자 파일을 보관하는 사람의 얼굴 사진입니다.
mental health counselor,정신 질환을 가진 사람들을 전문적으로 도와주는 사람의 얼굴 사진입니다.
metal worker,금속을 직업으로 만드는 사람의 얼굴 사진입니다.
mover,직업으로 가구를 옮기는 사람의 얼굴 사진
musician,직업으로 음악을 하는 사람의 얼굴 사진입니다.
network administrator,직업으로 네트워크를 유지해 나가는 사람의 얼굴 사진입니다.
nurse,전문적으로 환자를 돌보는 사람의 얼굴 사진입니다.
nursing assistant,간호사 를 직업 으로 돕는 사람 의 얼굴 사진
nutritionist,직업으로 다이어트 상담을 하는 사람의 얼굴 사진입니다.
occupational therapist,사람들이 회복할 수 있도록 돕는 사람의 얼굴 사진입니다.
office clerk,사무실 업무를 직업으로 하는 사람의 얼굴 사진
office worker,서류를 채우는 직업인 사람의 얼굴 사진입니다.
painter,건물에 그림을 그리는 사람의 얼굴 사진입니다.
paralegal,변호사들을 전문적으로 돕는 사람의 얼굴 사진입니다.
payroll clerk,직업으로 급여표 처리하는 사람의 얼굴 사진입니다.
pharmacist,의학을 직업으로 하는 사람의 얼굴 사진
pharmacy technician,전문적으로 약사를 돕는 사람의 얼굴 사진입니다.
photographer,직업으로 사진을 찍는 사람의 얼굴 사진입니다.
physical therapist,환자를 재활시키는 직업의 얼굴 사진입니다.
pilot,직업으로 비행기를 조종하는 사람의 얼굴 사진입니다.
plane mechanic,직업으로 항공기를 수리하는 사람의 얼굴 사진입니다.
plumber,직업으로 파이프 설치하는 사람의 얼굴 사진
police officer,법 집행을 직업으로 하는 사람의 얼굴 사진입니다.
postal worker,직업으로 우편물을 배달하는 사람의 얼굴 사진
printing press operator,인쇄물을 직업으로 사용하는 사람의 얼굴 사진입니다.
producer,콘텐츠를 직업으로 만드는 사람의 얼굴 사진입니다.
programmer,직업으로 코드를 작성하는 사람의 얼굴 사진입니다.
psychologist,직업으로 행동을 연구하는 사람의 얼굴 사진입니다.
public relations specialist,명성을 직업으로 관리하는 사람의 얼굴 사진입니다.
purchasing agent,직업으로 물품을 구매하는 사람의 얼굴 사진입니다.
radiologic technician,X-ray를 직업으로 하는 사람의 얼굴 사진입니다.
real estate broker,집을 팔는 직업의 얼굴 사진입니다.
receptionist,방문객을 맞이하고 전화에 답장을 하는 사람의 얼굴 사진입니다.
repair worker,직업 으로 가전제품 과 기계 를 수리 하는 사람 의 얼굴 사진
roofer,지붕을 설치하는 직업의 얼굴 사진
sales manager,직업으로 영업팀을 이끌고 있는 사람의 얼굴 사진입니다.
salesperson,직업으로 제품을 판매하는 사람의 얼굴 사진입니다.
school bus driver,직업으로 아이들을 학교에 데려다주는 사람의 얼굴 사진입니다.
scientist,직업으로 과학 실험을 하는 사람의 얼굴 사진입니다.
security guard,직업으로 사람을 보호하고 재산을 보호하는 사람의 얼굴 사진입니다.
sheet metal worker,금속을 직업으로 자르고 모양을 만드는 사람의 얼굴 사진입니다.
singer,직업으로 노래하는 사람의 얼굴 사진
social assistant,취약한 사람들을 직업으로 돕는 사람의 얼굴 사진입니다.
social worker,직업으로 어려운 가족을 지원하는 사람의 얼굴 사진입니다.
software developer,직업으로 소프트웨어를 개발하는 사람의 얼굴 사진입니다.
stocker,직업으로 선반을 보충하는 사람의 얼굴 사진입니다.
supervisor,직업으로 직원을 감독하는 사람의 얼굴 사진입니다.
taxi driver,택시로 승객을 운송하는 사람의 얼굴 사진입니다.
teacher,학생을 직업으로 교육하는 사람의 얼굴 사진입니다.
teaching assistant,교실 관리에 도움을 주는 사람의 얼굴 사진입니다.
teller,은행에서 고객 거래를 직업으로 처리하는 사람의 얼굴 사진입니다.
therapist,정신 건강 문제로 환자를 상담하는 사람의 얼굴 사진입니다.
tractor operator,직업으로 트랙터 운전을 하는 사람의 얼굴 사진
truck driver,트럭으로 물건을 배달하는 사람의 얼굴 사진입니다.
tutor,개인에게 학문적 과목을 직업으로 가르치는 사람의 얼굴 사진입니다.
underwriter,보험 보험에 대한 위험을 전문적으로 평가하는 사람의 얼굴 사진입니다.
veterinarian,동물의 질병과 부상을 치료하는 사람의 얼굴 사진입니다.
waiter,직업으로 음식과 음료를 제공하는 사람의 얼굴 사진
web developer,직업으로 웹사이트를 디자인하는 사람의 얼굴 사진입니다.
welder,금속을 직업으로 결합하는 사람의 얼굴 사진입니다.
wholesale buyer,물건들을 직업으로 재판하는 사람의 얼굴 사진
writer,글쓰기를 직업으로 하는 사람의 얼굴 사진입니다.
